,id,text,predictions,prompt,output,questions,question
34,34,What is the first step I need to make for being able to access my account?,passcode_forgotten;verify_my_identity;why_verify_identity,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: passcode forgotten Option 2: verify my identity Option 3: why verify identity Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: passcode forgotten Option 2: verify my identity Option 3: why verify identity Question: Option 1: I forgot my passcode Option 2: I need to verify my identity Option 3: why do I need to verify my identity? **END** Set 4: Option 1","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Option 1: I forgot my passcode Option 2: I need to verify my identity Option 3: why do I need to verify my identity?",Option 1: I forgot my passcode Option 2: I need to verify my identity Option 3: why do I need to verify my identity?
35,35,I made a purchase a few weeks ago but wasn't happy with it so recently requested a refund from the supplier. Can you check where the money is?,Refund_not_showing_up;request_refund,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: Refund not showing up Option 2: request refund Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: Refund not showing up Option 2: request refund Question: I understand you are trying to get a refund. Did you request it or is it not showing up? **END** Set 4: Option 1: cancelled order Option 2: order not cancelled Question: I understand you have an order that was,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to get a refund. Did you request it or is it not showing up? ; I understand you have an order that was,I understand you are trying to get a refund. Did you request it or is it not showing up?
36,36,Where do I need to live to get support?,atm_support;country_support,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: atm support Option 2: country support Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: atm support Option 2: country support Question: I understand you are having issues with your card. Can you please let me know if you need support from the ATM or your country's customer support? **END** Set 4: Option 1: card lost Option 2: card stolen Question: I,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your card. Can you please let me know if you need support from the ATM or your country's customer support? ; I,I understand you are having issues with your card. Can you please let me know if you need support from the ATM or your country's customer support?
37,37,WHAT IS THE ATMOSPHERE OF IT,card_acceptance;country_support;fiat_currency_support,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card acceptance Option 2: country support Option 3: fiat currency support Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card acceptance Option 2: country support Option 3: fiat currency support Question: I understand you are having issues with your card. Is it not accepted, supported by the country or supported by fiat currency? **END** Set 4: Option 1: card expiration Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your card. Is it not accepted, supported by the country or supported by fiat currency?","I understand you are having issues with your card. Is it not accepted, supported by the country or supported by fiat currency?"
38,38,I am being charged the wrong amount on my card.,card_payment_wrong_exchange_rate;extra_charge_on_statement,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment wrong exchange rate Option 2: extra charge on statement Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment wrong exchange rate Option 2: extra charge on statement Question: Option 1: card payment wrong exchange rate Option 2: extra charge on statement Question: I see there was an issue with your card payment. Was the exchange rate wrong or was there an extra charge on your statement? **END** Set 4: Option 1:,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: card payment wrong exchange rate Option 2: extra charge on statement ; I see there was an issue with your card payment. Was the exchange rate wrong or was there an extra charge on your statement?,Option 1: card payment wrong exchange rate Option 2: extra charge on statement
39,39,Im not sure why Im being charged an extra fee just for purchasing an item from another country? I paid for the item and the shipping why am I getting charged extra?,card_payment_fee_charged;transfer_fee_charged,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment fee charged Option 2: transfer fee charged Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment fee charged Option 2: transfer fee charged Question: I understand you are facing issues with your card payment or transfer. Was your card payment fee charged or transfer fee charged? **END** Set 4: Option 1: card payment blocked Option 2: transfer blocked Question: I understand you are facing issues with your card payment,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are facing issues with your card payment or transfer. Was your card payment fee charged or transfer fee charged? ; I understand you are facing issues with your card payment,I understand you are facing issues with your card payment or transfer. Was your card payment fee charged or transfer fee charged?
40,40,What is stopping my money from transferring?,beneficiary_not_allowed;failed_transfer,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: beneficiary not allowed Option 2: failed transfer Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: beneficiary not allowed Option 2: failed transfer Question: I understand you are having issues with your transfer. Was the transfer failed or the beneficiary not allowed? **END** Set 4: Option 1: card expired Option 2: card not working Question: I understand you are having issues with your card,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your transfer. Was the transfer failed or the beneficiary not allowed? ; I understand you are having issues with your card,I understand you are having issues with your transfer. Was the transfer failed or the beneficiary not allowed?
41,41,Can you please identify the problem with my bank card?,card_not_working;lost_or_stolen_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: lost or stolen card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: lost or stolen card Question: Option 1: card not working Option 2: card stolen Question: I understand this was about your card. Was it stolen or not working? **END** Option 1: card not working Option 2: card stolen Question: I understand this was,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: card not working Option 2: card stolen ; I understand this was about your card. Was it stolen or not working? ; I understand this was,Option 1: card not working Option 2: card stolen
42,42,why wont my american express work to add money,supported_cards_and_currencies;top_up_failed,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: top up failed Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: top up failed Question: I understand you are trying to top up with a card. Is the top up failed or supported? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand you are having issues with your card. Is your card,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to top up with a card. Is the top up failed or supported? ; I understand you are having issues with your card. Is your card,I understand you are trying to top up with a card. Is the top up failed or supported?
43,43,How do I go through the process of currency exchange?,exchange_via_app;fiat_currency_support,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: exchange via app Option 2: fiat currency support Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: exchange via app Option 2: fiat currency support Question: Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it? Question: Option 1: I'm sorry","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it? ; Option 1: I'm sorry","Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it?"
44,44,How long should my new card take to arrive?,card_arrival;card_delivery_estimate,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card arrival Option 2: card delivery estimate Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card arrival Option 2: card delivery estimate Question: I'm sorry, I didn't understand your question. Could you please repeat it? **END** Option 1: card expiration Option 2: card expiration date Question: I'm sorry, I didn't understand your question. Could you please repeat it?","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I'm sorry, I didn't understand your question. Could you please repeat it? ; I'm sorry, I didn't understand your question. Could you please repeat it?","I'm sorry, I didn't understand your question. Could you please repeat it?"
45,45,What are the steps to finishing up with this account?,pending_top_up;pending_transfer;top_up_by_cash_or_cheque;transfer_into_account,,,,
46,46,I was unable to transfer money from my account.,beneficiary_not_allowed;declined_transfer;failed_transfer,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question: I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary? **END** Set 4: Option 1: card expired Option 2","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?","I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?"
47,47,I lost my wallet and all my cards were in it.,cash_withdrawal_not_recognised;compromised_card;lost_or_stolen_card,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: cash withdrawal not recognised Option 2: compromised card Option 3: lost or stolen card Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: cash withdrawal not recognised Option 2: compromised card Option 3: lost or stolen card Question: I understand you are having issues with your cash withdrawal. Was your card compromised, lost or stolen? **END** Set 4: Option 1: card blocked Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your cash withdrawal. Was your card compromised, lost or stolen?","I understand you are having issues with your cash withdrawal. Was your card compromised, lost or stolen?"
48,48,What is the reason my payment was not accepted?,declined_card_payment;reverted_card_payment?,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined card payment Option 2: reverted card payment? Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined card payment Option 2: reverted card payment? Question: Option 1: declined card payment Option 2: reverted card payment? Question: I understand you had an issue with your card payment. Was it declined or reverted? **END** Option 1: declined card payment Option 2: revert,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: declined card payment Option 2: reverted card payment? ; I understand you had an issue with your card payment. Was it declined or reverted?,Option 1: declined card payment Option 2: reverted card payment?
49,49,Where do you support?,country_support;fiat_currency_support,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: country support Option 2: fiat currency support Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: country support Option 2: fiat currency support Question: Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Question: Option 1: I'm sorry","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? ; Option 1: I'm sorry","Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it?"
50,50,How can I top up my account and which currency can I use?,fiat_currency_support;supported_cards_and_currencies,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: fiat currency support Option 2: supported cards and currencies Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: fiat currency support Option 2: supported cards and currencies Question: Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'","Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'"
51,51,Where did my deposit for my source of funds come from?,balance_not_updated_after_cheque_or_cash_deposit;verify_source_of_funds,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: balance not updated after cheque or cash deposit Option 2: verify source of funds Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: balance not updated after cheque or cash deposit Option 2: verify source of funds Question: I understand you are having issues with your account balance. Was the issue with the source of funds or the update of balance? **END** Set 4: Option 1: account frozen Option 2: account blocked Question: I understand you are having issues,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your account balance. Was the issue with the source of funds or the update of balance? ; I understand you are having issues,I understand you are having issues with your account balance. Was the issue with the source of funds or the update of balance?
52,52,is there a fee for a transfer? if so how much will it be?,top_up_by_bank_transfer_charge;transfer_fee_charged,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: transfer fee charged Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: transfer fee charged Question: Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge? **END** Option 2: I understand you have a charge for your top up. Was it a transfer fee or a bank charge? **END** Option,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge?,Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge?
53,53,I don't think the charges made when I had currency exchanged are right.,card_payment_wrong_exchange_rate;wrong_exchange_rate_for_cash_withdrawal,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment wrong exchange rate Option 2: wrong exchange rate for cash withdrawal Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment wrong exchange rate Option 2: wrong exchange rate for cash withdrawal Question: I understand you are having issues with your card payment. Was the exchange rate wrong for cash withdrawal or for card payment? **END** Set 4: Option 1: card payment wrong amount Option 2: wrong amount for cash withdrawal Question:,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your card payment. Was the exchange rate wrong for cash withdrawal or for card payment? ;,I understand you are having issues with your card payment. Was the exchange rate wrong for cash withdrawal or for card payment?
54,54,Today I was out eating and my card was declined. Why's that?,card_not_working;declined_card_payment,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: declined card payment Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: declined card payment Question: I understand this was about your card. Was it not working or declined? **END** Set 4: Option 1: card swallowed Option 2: card stuck Question: I understand this was about your card. Was it swallowed or stuck? **END,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand this was about your card. Was it not working or declined? ; I understand this was about your card. Was it swallowed or stuck? **END,I understand this was about your card. Was it not working or declined?
55,55,What is this fee debit on my account?,card_payment_fee_charged;direct_debit_payment_not_recognised;extra_charge_on_statement,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card payment fee charged Option 2: direct debit payment not recognised Option 3: extra charge on statement Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card payment fee charged Option 2: direct debit payment not recognised Option 3: extra charge on statement Question: I understand you are having issues with your card payment. Was there an extra charge on your statement, your direct debit payment not recognised or a charge for your card payment? **END** Set 4:","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your card payment. Was there an extra charge on your statement, your direct debit payment not recognised or a charge for your card payment?","I understand you are having issues with your card payment. Was there an extra charge on your statement, your direct debit payment not recognised or a charge for your card payment?"
56,56,Is my country supported,country_support;fiat_currency_support,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: country support Option 2: fiat currency support Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: country support Option 2: fiat currency support Question: Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Question: Option 1: I'm sorry","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? ; Option 1: I'm sorry","Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it?"
57,57,I have a problem with a transfer. It didn't work. Can you tell me why?,declined_transfer;failed_transfer,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined transfer Option 2: failed transfer Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined transfer Option 2: failed transfer Question: I understand this was about your transfer. Was your transfer failed or declined? **END**,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand this was about your transfer. Was your transfer failed or declined?,I understand this was about your transfer. Was your transfer failed or declined?
58,58,need to exchange currencies,exchange_via_app;fiat_currency_support,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: exchange via app Option 2: fiat currency support Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: exchange via app Option 2: fiat currency support Question: Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it? Question: Option 1: I'm sorry","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it? ; Option 1: I'm sorry","Option 1: I'm sorry, I didn't understand your question. Can you please repeat it? Option 2: I'm sorry, I didn't understand your question. Can you please repeat it?"
